id,job_count,preempted_job_count,start_time,finish_time,real_duration,jobs_total_duration,job_max_duration,preempted_jobs_total_duration,operation_type,operation_state,in_timeframe
93ce7944-71da3fe5-3f403e8-31521909,268,0,0.000000s,104.230000s,155.210400s,6017.084873s,63.448000s,0.000000s,Map,completed,0
2026ebac-ac446167-3f403e8-251abd94,3,0,81.336495s,105.821000s,25.779970s,57.694999s,23.596000s,0.000000s,Map,completed,1
a1cc3c59-ad2e26a-3f403e8-49f23d8d,1,0,99.682958s,107.012000s,9.783601s,6.791000s,6.791000s,0.000000s,Map,completed,1
b9dd54d7-6ebf71c4-3f403e8-398ae9b6,1,0,102.495576s,107.089000s,5.563875s,3.862999s,3.863000s,0.000000s,Sort,completed,1
3430b9bc-a0834dd6-3f403e8-3f3ebc23,1,0,100.912689s,107.742000s,9.118027s,6.512999s,6.513000s,0.000000s,Map,completed,1
effbd9ac-45d40019-3f403e8-d262a0b7,1,0,97.038739s,107.800000s,12.836037s,10.591999s,10.592000s,0.000000s,Map,completed,1
3dc59fa3-3f58c63e-3f403e8-daeea8cc,2,0,17.595334s,108.339000s,213.571684s,168.344999s,90.293000s,0.000000s,Merge,completed,1
44d6a50d-e0dfd83a-3f403e8-40a268aa,4,0,99.477865s,109.937000s,13.377575s,18.364999s,4.947000s,0.000000s,MapReduce,completed,1
d8a931fd-76abe3dc-3f403e8-40a5e584,1,0,103.165379s,109.947000s,9.098633s,6.720999s,6.721000s,0.000000s,Map,completed,1
b9c03508-74b3db04-3f403e8-ebc3a420,2,0,99.368755s,112.042000s,13.796672s,21.298999s,11.826000s,0.000000s,Map,completed,1
85de17c0-67da78d0-3f403e8-664fbf21,31,0,0.000000s,112.859000s,233.621670s,1742.302984s,92.536000s,0.000000s,Merge,completed,0
6bf053f9-b3c3da3a-3f403e8-62717619,106,0,107.043437s,113.325000s,13.315341s,358.521947s,5.457000s,0.000000s,Map,completed,1
4654f256-61a7f969-3f403e8-a832d3ad,666,0,0.000000s,113.802000s,237.716177s,11812.676694s,62.645000s,0.000000s,Map,completed,0
82500723-88f3e79a-3f403e8-b8e355f7,225,1,63.630866s,114.307000s,46.062428s,3740.007887s,39.158000s,22.910999s,Map,completed,1
66701f44-e956c7fd-3f403e8-5f244429,2,0,99.106506s,114.596000s,17.603358s,26.952999s,15.350000s,0.000000s,Map,completed,1
6e9749f6-f63212e6-3f403e8-761bea9,1,0,104.171489s,114.724000s,12.538502s,10.495999s,10.496000s,0.000000s,Map,completed,1
8604b3a6-3a835d3b-3f403e8-6a8731a7,38,0,102.141837s,114.822000s,19.501977s,192.800984s,7.150000s,0.000000s,MapReduce,completed,1
547693ce-b6e07590-3f403e8-8fde2091,102,0,73.898802s,115.618000s,51.758871s,763.105941s,28.258000s,0.000000s,MapReduce,completed,1
6ab0459c-764665a6-3f403e8-a0fdce00,1,0,108.313679s,116.400000s,9.254930s,7.159999s,7.160000s,0.000000s,Map,completed,1
b68a226d-58b093f1-3f403e8-388d4576,1030,0,0.000000s,117.440000s,501.649227s,23118.891508s,39.213000s,0.000000s,Map,completed,0
3d9a1a0-3a0b1d72-3f403e8-978f1184,101,0,84.454821s,117.545000s,41.808408s,1126.333951s,19.500000s,0.000000s,MapReduce,completed,1
6fd3884b-1084e3b0-3f403e8-ee14e55b,242,11,1.824491s,118.054000s,127.528520s,5480.033872s,72.652000s,477.536990s,Map,completed,1
1ed231cd-33945a9d-3f403e8-cb803846,1,0,99.843229s,118.263000s,20.639374s,18.032000s,18.032000s,0.000000s,Map,completed,1
1de7e688-97a75068-3f403e8-b789f2d6,1,0,112.203007s,118.760000s,8.899126s,6.509999s,6.510000s,0.000000s,Map,completed,1
bf1554b7-d17fecb3-3f403e8-600b7bbf,331,0,0.000000s,119.078000s,172.626278s,8861.224841s,68.090000s,0.000000s,Map,completed,0
c6d4256d-97445ef4-3f403e8-988d1ef9,4,0,102.044415s,119.190000s,21.517427s,30.498998s,8.948000s,0.000000s,MapReduce,completed,1
e6114aa6-b6041109-3f403e8-c06828f6,1027,0,0.000000s,121.179000s,600.000000s,26896.822491s,46.102000s,0.000000s,Map,completed,0
e257db31-ae98c1ff-3f403e8-b29e4bf6,1,0,114.408267s,122.099000s,8.796241s,6.841999s,6.842000s,0.000000s,Map,completed,1
86c15809-667a1a0a-3f403e8-42eb0db9,1,0,117.065484s,122.161000s,7.408736s,4.900999s,4.901000s,0.000000s,Map,completed,1
a22c2a02-2cda391f-3f403e8-955463da,957,0,0.000000s,122.193000s,600.000000s,27274.114545s,47.766000s,0.000000s,Map,completed,0
87b6e4b9-2b6b6b33-3f403e8-22a2b428,1,0,118.070432s,122.295000s,6.150518s,4.031999s,4.032000s,0.000000s,Sort,completed,1
8c8160b0-da63e99-3f403e8-3166a32e,14329,47,0.000000s,122.936000s,600.000000s,72674.287945s,68.203000s,1701.757976s,MapReduce,failed,0
db77493a-683e6550-3f403e8-8e4f7e39,1,0,107.419975s,123.155000s,17.472835s,14.911999s,14.912000s,0.000000s,Map,completed,1
9cfcd66d-d10a3eca-3f403e8-f72c1013,101,0,50.702648s,123.525000s,87.216562s,2343.689973s,54.758000s,0.000000s,MapReduce,completed,1
60d6e04e-a0734fe3-3f403e8-f4d8238,946,0,0.000000s,124.089000s,326.114890s,16568.601545s,62.233000s,0.000000s,Map,completed,0
ddeb4073-f620754-3f403e8-3e814a9f,4379,0,0.000000s,128.365000s,483.849376s,25070.231891s,63.523000s,0.000000s,Map,completed,0
846a9955-335fee49-3f403e8-137eebb,1025,0,0.000000s,128.598000s,600.000000s,28447.709505s,62.942000s,0.000000s,Map,completed,0
99d59be2-c1773e90-3f403e8-982af777,34,0,109.403585s,128.863000s,27.341522s,285.089983s,13.017000s,0.000000s,MapReduce,completed,1
828f9bf1-ef74d187-3f403e8-5b394c03,1835,6,0.000000s,129.179000s,600.000000s,29530.243123s,63.523000s,26.827998s,Map,completed,0
a6a857ee-9b0a87bf-3f403e8-b9ca81ab,2,0,100.349067s,129.553000s,39.210694s,34.155999s,28.207000s,0.000000s,Map,completed,1
f32f4422-cc998aa4-3f403e8-fe75a745,17,0,18.360278s,129.945000s,147.179813s,236.007989s,92.863000s,0.000000s,MapReduce,completed,1
757a4bc9-595a8357-3f403e8-2fbfca8b,1,0,115.667933s,129.964000s,16.431704s,13.705999s,13.706000s,0.000000s,Map,completed,1
acb6fdba-d2adb2ce-3f403e8-b206cd42,101,0,108.705149s,131.442000s,32.300108s,757.701953s,13.597000s,0.000000s,MapReduce,completed,1
3c7eb678-4b15c28-3f403e8-5e8b3801,727,0,0.000000s,131.463000s,427.717164s,21017.734666s,64.027000s,0.000000s,Map,completed,0
