105650	138	12	77000
20812	105650	2	48317
153103	20812	7	1028
114776	138	12	80
114777	138	12	0
114780	138	12	15289
218915	138	3	50000
21533	218915	6	11500
241	10000	1	0
1056	241	3	91640000
121445	1056	5	5818363
111908	121445	6	0
111910	121445	6	0
111918	121445	6	0
121446	1056	5	348233
11486	121446	6	0
20795	121446	6	0
20984	121446	6	0
21259	121446	6	0
62453	121446	6	0
62458	121446	7	0
62465	121446	6	0
108932	121446	7	0
116353	121446	6	0
121447	1056	5	5737129
111901	121447	6	0
111914	121447	6	0
121448	1056	5	3012792
111899	121448	6	0
121449	1056	5	4610677
111897	121449	6	0
111912	121449	6	0
121450	1056	5	4710056
11484	121450	6	3917084
121451	1056	5	1142832
111906	121451	6	0
121452	1056	5	7402566
114930	121452	6	3087878
121453	1056	5	3850000
111900	121453	6	0
121454	1056	5	5007000
111898	121454	6	0
111905	121454	6	0
121455	1056	5	9158581
11485	121455	6	8026454
121456	1056	5	4989302
111907	121456	6	0
114929	121456	6	1045370
121457	1056	5	1119222
21192	121457	6	0
121458	1056	5	219615
121472	121458	6	67500
121459	1056	5	6327562
111902	121459	6	0
111913	121459	6	0
121460	1056	5	607775
108933	121460	6	0
116337	121460	6	0
121473	121460	6	565716
121461	1056	5	1394687
62414	121461	6	0
62419	121461	11	0
121462	1056	5	4123441
111903	121462	6	0
121463	1056	5	2771138
111904	121463	6	0
121464	1056	5	653770
108931	121464	6	0
121465	1056	5	1300815
121474	121465	6	337303
121466	1056	5	164574
11487	121466	6	0
21461	121466	6	0
62452	121466	7	0
62457	121466	6	0
121475	121466	6	32877
121467	1056	5	3093754
111909	121467	6	0
111915	121467	6	0
121468	1056	5	427573
111919	121468	6	0
121469	1056	5	2959175
121476	121469	6	230392
121470	1056	5	421984
111917	121470	6	0
121471	1056	5	4469151
111911	121471	6	0
111916	121471	6	0
10020	241	3	36064173
10138	10020	6	3500000
10139	10020	6	1010996
20745	10020	6	742130
20956	10020	6	1044376
21258	10020	6	999000
60101	10020	6	850000
60150	10020	6	985000
60265	10020	6	56616
104110	10020	6	55618
109391	10020	6	70000
109392	10020	6	147549
113065	10020	6	600000
113066	10020	6	152341
113067	10020	6	163286
113068	10020	6	850025
113069	10020	6	117000
113070	10020	6	60566
113071	10020	6	175737
113072	10020	6	152796
113073	10020	6	284750
113074	10020	6	95265
113075	10020	6	102942
113076	10020	6	132380
113078	10020	6	116570
113079	10020	6	111971
114528	10020	6	49652
116206	10020	6	23637
116574	10020	6	18000
144935	10020	6	42786
144936	10020	7	500
144937	10020	6	982163
144938	10020	6	463968
144939	10020	6	240458
145104	10020	6	37305
10021	241	3	54956900
10140	10021	6	2345908
21379	10021	6	3497097
21438	10021	6	3888180
21491	10021	6	1053664
114193	10021	6	9654
114194	10021	6	42308
114195	10021	6	21540
114196	10021	6	178969
114197	10021	6	737600
114198	10021	6	395539
114199	10021	6	223519
114200	10021	6	112723
114201	10021	7	1104
114202	10021	6	150427
114203	10021	6	320701
114204	10021	6	654509
114205	10021	6	41425
114206	10021	6	614517
114207	10021	6	109626
114208	10021	11	0
114209	10021	6	68557
114210	10021	6	44123
114211	10021	6	30232
114212	10021	6	383316
114213	10021	6	328773
114214	10021	6	2052
114215	10021	6	482283
114216	10021	6	137000
114217	10021	7	0
114218	10021	6	211000
114219	10021	6	28706
114220	10021	6	18420
114221	10021	6	16978
114222	10021	6	478676
114223	10021	6	92469
114224	10021	6	121189
114225	10021	6	175822
114226	10021	6	44110
114227	10021	6	20220
114228	10021	6	23992
114229	10021	6	181386
114883	10021	6	2412
115064	10021	6	49300
115065	10021	6	38297
122111	10021	6	16935
123188	10021	6	51078
123268	10021	6	77476
123344	10021	6	171575
123491	10021	6	32769
123492	10021	6	8969
123493	10021	6	61507
123531	10021	6	3830
123589	10021	6	4236
144873	10021	6	15616
145470	10021	6	236580
145471	10021	6	49292
145472	10021	6	27107
145473	10021	6	1000
145474	10021	6	15176
145475	10021	6	59031
145476	10021	6	112045
145477	10021	7	1971
145478	10021	6	17537
145479	10021	6	16639
145480	10021	6	6164
10022	241	3	92000
10141	10022	6	25970
114172	10022	2	6500
116245	10022	2	0
116246	10022	2	0
116247	10022	2	0
116248	10022	2	0
116249	10022	2	0
116250	10022	2	0
116251	10022	2	0
116252	10022	2	0
116253	10022	2	0
116254	10022	2	0
116255	10022	2	0
10023	241	3	6411776
10142	10023	6	2220000
20988	10023	6	96872
21071	10023	6	1110000
21401	10023	6	10000
112948	10023	6	38740
112949	10023	6	13264
112950	10023	6	0
112951	10023	6	24918
112952	10023	6	250000
112953	10023	6	30715
112954	10023	6	200000
112955	10023	6	47746
112956	10023	6	22000
112957	10023	6	102550
112958	10023	6	80000
219189	10023	6	400000
10024	241	3	10982754
10143	10024	6	2256320
20951	10024	6	63116
21275	10024	6	71546
21474	10024	6	60000
60739	10024	6	173047
60750	10024	6	265131
109393	10024	7	0
109394	10024	7	0
109395	10024	11	0
109396	10024	6	27060
109397	10024	6	10000
109398	10024	6	9531
109399	10024	6	34807
109400	10024	6	45977
109401	10024	6	56387
109402	10024	6	15634
